trayectoria,energia_total_J
0,0.2372983158327175
1,0.4572299294220512
2,0.894584944784433
3,1.5730427269795493
4,1.6868327281635604
5,1.8068786947189714
6,1.9143877983854525
7,1.9725149473861403
8,3.070675309795368
9,3.2478923232172296
