time,series_id,torque_trial,speed2,torque2
0.0,0,0.25,21,0.24750000000000003
0.010486602783203125,0,0.25,27,0.24750000000000003
0.021097660064697266,0,0.25,32,0.24300000000000002
0.03156614303588867,0,0.25,27,0.24750000000000003
0.04194784164428711,0,0.25,49,0.24750000000000003
0.05234098434448242,0,0.25,54,0.24750000000000003
0.06249189376831055,0,0.25,65,0.24300000000000002
0.0728445053100586,0,0.25,71,0.23850000000000002
0.08304810523986816,0,0.25,65,0.24750000000000003
0.09346175193786621,0,0.25,71,0.24300000000000002
0.10371589660644531,0,0.25,65,0.24300000000000002
0.11409854888916016,0,0.25,82,0.24750000000000003
0.12470889091491699,0,0.25,82,0.23850000000000002
0.1350266933441162,0,0.25,87,0.24300000000000002
0.14517521858215332,0,0.25,82,0.24750000000000003
0.15555214881896973,0,0.25,115,0.24300000000000002
0.16591930389404297,0,0.25,115,0.24300000000000002
0.1763467788696289,0,0.25,115,0.24300000000000002
0.18659329414367676,0,0.25,148,0.25200000000000006
0.19693303108215332,0,0.25,148,0.25200000000000006
0.20748686790466309,0,0.25,148,0.23850000000000002
0.2176830768585205,0,0.25,148,0.24300000000000002
0.22805452346801758,0,0.25,159,0.25650000000000006
0.2385392189025879,0,0.25,148,0.216
0.248917818069458,0,0.25,159,0.23850000000000002
0.2593059539794922,0,0.25,186,0.23850000000000002
0.269909143447876,0,0.25,208,0.24750000000000003
0.280179500579834,0,0.25,208,0.25200000000000006
0.2903008460998535,0,0.25,197,0.23850000000000002
0.3006560802459717,0,0.25,203,0.234
0.31084132194519043,0,0.25,203,0.25650000000000006
0.3211483955383301,0,0.25,208,0.225
0.3313279151916504,0,0.25,230,0.24750000000000003
0.34186673164367676,0,0.25,236,0.2205
0.35214686393737793,0,0.25,236,0.25200000000000006
0.362410306930542,0,0.25,236,0.23850000000000002
0.3728203773498535,0,0.25,252,0.216
0.0,1,0.25,27,0.23850000000000002
0.010098695755004883,1,0.25,16,0.25200000000000006
0.020467758178710938,1,0.25,16,0.24300000000000002
0.030765295028686523,1,0.25,21,0.23850000000000002
0.04085421562194824,1,0.25,32,0.24300000000000002
0.051221370697021484,1,0.25,32,0.24300000000000002
0.06139516830444336,1,0.25,38,0.24300000000000002
0.07180643081665039,1,0.25,43,0.24300000000000002
0.0822453498840332,1,0.25,43,0.24750000000000003
0.09273147583007812,1,0.25,38,0.24750000000000003
0.10309147834777832,1,0.25,49,0.25200000000000006
0.11330962181091309,1,0.25,49,0.25200000000000006
0.12349891662597656,1,0.25,54,0.24300000000000002
0.13381099700927734,1,0.25,49,0.23850000000000002
0.14436745643615723,1,0.25,60,0.24300000000000002
0.15496420860290527,1,0.25,71,0.23850000000000002
0.16509532928466797,1,0.25,71,0.24300000000000002
0.17543411254882812,1,0.25,76,0.23850000000000002
0.18591547012329102,1,0.25,82,0.234
0.1964101791381836,1,0.25,98,0.234
0.20683550834655762,1,0.25,109,0.24300000000000002
0.21721100807189941,1,0.25,120,0.25200000000000006
0.22730660438537598,1,0.25,131,0.24750000000000003
0.23762011528015137,1,0.25,142,0.23850000000000002
0.2479097843170166,1,0.25,137,0.24300000000000002
0.2587771415710449,1,0.25,142,0.24750000000000003
0.2691841125488281,1,0.25,142,0.23850000000000002
0.2802753448486328,1,0.25,159,0.25650000000000006
0.29056668281555176,1,0.25,164,0.225
0.3010096549987793,1,0.25,170,0.24300000000000002
0.3112659454345703,1,0.25,186,0.24750000000000003
0.3215944766998291,1,0.25,186,0.25650000000000006
0.3318331241607666,1,0.25,186,0.25650000000000006
0.3422360420227051,1,0.25,186,0.261
0.35251498222351074,1,0.25,203,0.23850000000000002
0.3629324436187744,1,0.25,219,0.25200000000000006
0.0,2,0.25,16,0.24300000000000002
0.010418176651000977,2,0.25,10,0.24300000000000002
