series_id,torque_trial,speed1_slope,speed1_intercept,speed1_slope_stderr,speed1_intercept_stderr,speed2_slope,speed2_intercept,speed2_slope_stderr,speed2_intercept_stderr,inertia1,inertia1_stderr,inertia2,inertia2_stderr
0,0.2,5324.930841993951,66.68808811312988,24.465917389795077,7.853725280662479,3684.4160936905273,-14.968154587819186,21.979935579209354,7.055708272675364,0.0013292147891480826,0.00010818932551296472,0.0014471770836084119,0.00015601336218794683
0,0.25,7965.499134232032,18.207894739442963,42.247668037016055,8.95811499489391,6384.723043176113,72.27458654698239,47.992188847269176,10.176172236863357,0.0012482288472412003,7.251202380967595e-05,0.0012838131673826737,9.040877813146264e-05
0,0.3,10229.65555698477,143.53887138910704,82.80792559425944,13.547271613929064,8522.582865913786,93.04540290989485,64.43350770422546,10.541240148730955,0.0012520025436176484,5.713301666445159e-05,0.0012979141021692102,6.805427699888926e-05
0,0.35,13372.616593577835,-13.872959838293582,58.750692977463316,7.556673225365521,11259.918412133182,11.436566235521468,49.18934032565564,6.326866155516856,0.0011719728628769677,4.3319018525907916e-05,0.0012368090917268878,5.1257279245351744e-05
0,0.4,15041.929987887152,216.34796343233347,212.5650988109925,23.25768442320033,12704.608755364698,119.03125446515332,175.18582635532582,19.16785346033032,0.0012323639814779764,4.2017577356278517e-05,0.001321658837608291,4.871306341858953e-05
0,0.45,18747.435274260824,-13.126714492175779,87.42568446215631,7.9949452233653275,16798.55025111613,-25.63416320752617,75.71870693503199,6.924360021358214,0.0011415919773316047,3.1139021429309934e-05,0.001170097843070211,3.4570574098707534e-05
0,0.5,21010.08439160821,204.73958429049435,129.54376959747677,9.521461405294074,18228.63336314308,142.27272063490955,345.17762171604,25.370540114377594,0.001155003008459421,2.8287581607235516e-05,0.0012354593974514229,3.922558519360396e-05
1,0.2,5358.913394790654,84.39411270498067,29.586016606079152,9.283138986414231,3875.493445320325,58.1508850616035,14.644089570087173,4.594843591775904,0.0013207858207317817,0.00010757926041389105,0.00137582545616362,0.00014818523003121362
1,0.25,7884.436833012565,49.798734013352714,45.26672290647547,9.894783944080618,6144.545632715034,41.67716064368324,38.71245380990009,8.462096255246388,0.0012610622689489155,7.33099657070224e-05,0.0013339947333582138,9.378334276604998e-05
1,0.3,10300.189953458419,76.63924357002315,79.7988265253441,13.457693489630051,8378.540137260237,-2.087179034731662,80.87419169101555,13.639048722772927,0.0012434289887418091,5.6666708456810174e-05,0.0013202276658415932,6.967616827889122e-05
1,0.35,13112.067701739277,-2.0154800100601733,138.51632121114864,18.37398842120195,11369.935062520148,2.3671538801963834,118.35375113195622,15.69945284346285,0.001195261045765693,4.564773480486745e-05,0.0012248416009108252,5.206378431860447e-05
1,0.4,14729.83876436435,217.1729115039284,206.5971541285625,22.466089346256034,12690.639182900199,169.58518622283646,183.40005742440525,19.943556790918727,0.0012584749246429057,4.285284609637807e-05,0.0013231136901684514,4.910132747202274e-05
1,0.45,18377.240830016777,36.730952495161546,225.78673853580642,20.653555669965424,16034.41437151328,43.55317077359268,190.62637497893758,17.437305987600435,0.0011645884114269483,3.441413585639355e-05,0.001225860013350925,3.8647262875830876e-05
1,0.5,19105.623250365305,218.67530080050096,382.5791514793208,30.49152606015655,17028.194930703856,183.09239444189984,344.8118050245788,27.48147173755457,0.0012701344710034426,3.9410757376681265e-05,0.0013225557073336112,4.304949947258891e-05
2,0.2,5390.346199429899,69.1338386189359,31.914609557000677,10.166519136763265,3904.4553451474862,-32.115216492875334,21.821218672050108,6.951231435893596,0.0013130839030557446,0.00010698879738114431,0.0013656200586065468,0.00014719350097574082
2,0.25,7885.557698135011,32.80568386892128,56.32228868493481,12.236643970508283,6294.826972093822,25.567846938472485,43.22230516363606,9.390526774057502,0.00126088301964676,7.349505894013569e-05,0.0013021472312517914,9.161337254386317e-05
2,0.3,10282.05152077731,119.50287308806355,62.19075362647053,10.170929396378662,8575.426731163358,16.120212326436786,58.554385410569665,9.576222913075638,0.001245622505566779,5.644547108910032e-05,0.0012899160397904248,6.7505202966278e-05
2,0.35,12829.518064076536,45.33701108718083,153.27880303506552,20.532683900519302,10791.519505200973,-10.350373707358813,120.22735206443397,16.105228950481372,0.0012215847606322028,4.714846087761069e-05,0.0012904919884097403,5.5093148699094836e-05
2,0.4,15151.786806717466,105.94788012988352,204.04714959273477,22.233703726150022,13341.432846769483,117.85693868359067,150.54614236008373,16.404043541062457,0.0012234288249599206,4.138252764043991e-05,0.001258572346219114,4.530277997264181e-05
2,0.45,17424.069160523857,137.54335050078953,322.1916751009881,29.334544867585173,15470.86810297768,139.94067805966438,289.6816046202793,26.374604574696505,0.0012282964161510618,4.0069641043593464e-05,0.0012705135409792777,4.407037715780535e-05
2,0.5,21491.425844875295,201.74762407241087,162.240175801058,11.897721218323579,19596.947528766577,247.7198079077616,131.08307519372175,9.6128463704813,0.0011291345141755818,2.8087946458222864e-05,0.0011491961367010453,3.027906473425972e-05
3,0.2,5387.649476763469,82.96299298530744,28.275906334125494,8.90236501928017,3816.4796410186946,60.04007964342031,16.607379258903954,5.228654757494198,0.001313741151293509,0.00010698178626683643,0.0013970996936443073,0.00015050680511549864
3,0.25,7898.6328677007505,47.4850377159305,61.62016985631289,13.392350922570449,6201.72696102781,-68.34032952752386,53.414791083229936,11.609017442023745,0.0012587957901779923,7.347964418193554e-05,0.0013216949995429367,9.324226543392268e-05
