trajectory_num,pick_place_mode,time,target,torque1,torque2,theta1,theta2,omega1,omega2,eff_x,eff_y
0,1,0.0,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.07475739,-0.12660341,2.4958208303518914,-2.7401669256310974,0.0,0.0,0.019465887942037116,0.20605030126153007
0,1,0.01404881477355957,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.6242699,0.37080976,2.4958208303518914,-2.7401669256310974,0.0,0.0,0.019465887942037116,0.20605030126153007
0,1,0.027901649475097656,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.6242699,0.37080976,2.4958208303518914,-2.7401669256310974,0.0,0.0,0.019465887942037116,0.20605030126153007
0,1,0.04038500785827637,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.6242699,0.37080976,2.4958208303518914,-2.7401669256310974,0.0,0.0,0.019465887942037116,0.20605030126153007
0,1,0.05462050437927246,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.30310288,0.27721673,2.5132741228718345,-2.7401669256310974,1.0471975511965976,0.47123889803846897,0.017983052642973736,0.20506319737125692
0,1,0.07182931900024414,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.19491234,0.19721107,2.530727415391778,-2.722713633111154,1.4311699866353502,0.9424777960769379,0.015219129987203615,0.2052549279251966
0,1,0.0858309268951416,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.15287666,0.18661843,2.5656340004316642,-2.705260340591211,1.8151424220741028,1.1344640137963142,0.011012337409075139,0.20438299094172827
0,1,0.10095763206481934,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.13415356,0.16380425,2.5830872929516078,-2.6878070480712677,1.9024088846738192,1.5184364492350666,0.008260140112109043,0.20449390858848765
0,1,0.11495637893676758,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.14188766,0.15263481,2.600540585471551,-2.670353755551324,1.710422666954443,1.5184364492350666,0.0055072355097988,0.20457315660747166
0,1,0.1291487216949463,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.08870106,0.11510372,2.6354471705114375,-2.6354471705114375,2.007128639793479,1.5184364492350666,2.5664171137557146e-07,0.2046367105623017
0,1,0.14170145988464355,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.077311516,0.1034317,2.652900463031381,-2.6179938779914944,2.007128639793479,1.4311699866353502,-0.002753344347762185,0.20462104365918074
0,1,0.15623831748962402,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.021943856,0.07073307,2.6878070480712677,-2.600540585471551,2.0943951023931953,1.4311699866353502,-0.006846220634898266,0.20343727340387358
0,1,0.1714942455291748,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",0.020139312,0.06424942,2.705260340591211,-2.5830872929516078,2.007128639793479,1.239183768915974,-0.00958471676886355,0.20334202731555934
0,1,0.18750858306884766,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.06625109,0.00427742,2.7576202181510405,-2.5656340004316642,1.9024088846738192,1.3264502315156905,-0.014894550449127353,0.2008632697222851
0,1,0.2023923397064209,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.06596356,-0.035573103,2.775073510670984,-2.548180707911721,1.710422666954443,1.3264502315156905,-0.017599758406358287,0.20067781245455674
0,1,0.22110533714294434,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.09167023,-0.074110985,2.8099800957108707,-2.530727415391778,1.4311699866353502,1.239183768915974,-0.021535222265258384,0.19924836689206832
0,1,0.23693251609802246,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.09200668,-0.093353845,2.827433388230814,-2.5132741228718345,1.239183768915974,1.0471975511965976,-0.024221572436345054,0.19898766368904308
0,1,0.25246739387512207,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.07171898,-0.1395154,2.8448866807507573,-2.478367537831948,0.9424777960769379,0.7504915783575618,-0.028403801277170355,0.19962591331956564
0,1,0.27026939392089844,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.11669292,-0.14220476,2.8623399732707004,-2.478367537831948,0.9424777960769379,0.6632251157578453,-0.0295881295071906,0.19837382374418366
0,1,0.28687238693237305,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.10381871,-0.07461291,2.8797932657906435,-2.478367537831948,0.7504915783575618,0.08726646259971647,-0.03075624048474402,0.19711741600139387
0,1,0.30394935607910156,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.05187149,-0.0931407,2.8797932657906435,-2.4609142453120048,0.47123889803846897,0.0,-0.032267881931514884,0.19802059955944512
0,1,0.3171374797821045,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.026231576,-0.009887695,2.897246558310587,-2.478367537831948,0.17453292519943295,-0.2792526803190927,-0.03190807268871715,0.19585706003156472
0,1,0.33056187629699707,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.04044838,-0.00020685197,2.897246558310587,-2.478367537831948,0.2792526803190927,-0.3665191429188092,-0.03190807268871715,0.19585706003156472
0,1,0.3430197238922119,"(np.float64(-0.0274024683363936), np.float64(0.19811386808871545))",-0.04044838,-0.00020685197,2.897246558310587,-2.478367537831948,0.2792526803190927,-0.3665191429188092,-0.03190807268871715,0.19585706003156472
