time,speed_trial,speed1,speed2,torque1,torque2,speed1_rad,speed2_rad
0.0,500.0,499,516,0.0495,0.108,8.709192967451704,9.00589894029074
0.010379552841186523,500.0,483,499,0.0945,0.099,8.429940287132611,8.709192967451704
0.020842790603637695,500.0,499,510,0.0945,0.099,8.709192967451704,8.901179185171081
0.03115248680114746,500.0,505,494,0.07650000000000001,0.1305,8.813912722571363,8.621926504851988
0.042008399963378906,500.0,510,505,0.0585,0.099,8.901179185171081,8.813912722571363
0.052437543869018555,500.0,488,488,0.0855,0.0945,8.517206749732328,8.517206749732328
0.06318116188049316,500.0,494,483,0.099,0.1125,8.621926504851988,8.429940287132611
0.07340836524963379,500.0,499,510,0.0585,0.12150000000000001,8.709192967451704,8.901179185171081
0.08384251594543457,500.0,483,494,0.0855,0.108,8.429940287132611,8.621926504851988
0.09396600723266602,500.0,527,499,0.054,0.10350000000000001,9.197885158010116,8.709192967451704
0.10454082489013672,500.0,483,499,0.0945,0.1305,8.429940287132611,8.709192967451704
0.1147909164428711,500.0,483,516,0.07200000000000001,0.108,8.429940287132611,9.00589894029074
0.12485718727111816,500.0,483,505,0.099,0.0855,8.429940287132611,8.813912722571363
0.13527297973632812,500.0,499,488,0.1125,0.1125,8.709192967451704,8.517206749732328
0.14567804336547852,500.0,521,516,0.0675,0.1125,9.093165402890456,9.00589894029074
0.15575909614562988,500.0,488,499,0.099,0.117,8.517206749732328,8.709192967451704
0.16594290733337402,500.0,488,499,0.099,0.117,8.517206749732328,8.709192967451704
0.17625808715820312,500.0,499,505,0.0945,0.09000000000000001,8.709192967451704,8.813912722571363
0.18676996231079102,500.0,499,494,0.09000000000000001,0.09000000000000001,8.709192967451704,8.621926504851988
0.19716596603393555,500.0,510,505,0.0855,0.14850000000000002,8.901179185171081,8.813912722571363
0.20774435997009277,500.0,505,505,0.06300000000000001,0.0945,8.813912722571363,8.813912722571363
0.2178812026977539,500.0,483,494,0.10350000000000001,0.1125,8.429940287132611,8.621926504851988
0.22814464569091797,500.0,494,516,0.0855,0.1125,8.621926504851988,9.00589894029074
0.2385847568511963,500.0,499,499,0.0585,0.1395,8.709192967451704,8.709192967451704
0.24908137321472168,500.0,516,505,0.0675,0.0855,9.00589894029074,8.813912722571363
0.25951528549194336,500.0,499,483,0.07650000000000001,0.12150000000000001,8.709192967451704,8.429940287132611
0.27005577087402344,500.0,499,494,0.081,0.1305,8.709192967451704,8.621926504851988
0.28061461448669434,500.0,499,516,0.054,0.099,8.709192967451704,9.00589894029074
0.2911069393157959,500.0,499,477,0.1125,0.1125,8.709192967451704,8.325220532012953
0.3012714385986328,500.0,516,510,0.054,0.099,9.00589894029074,8.901179185171081
0.3118572235107422,500.0,499,488,0.09000000000000001,0.162,8.709192967451704,8.517206749732328
0.32204675674438477,500.0,494,505,0.0675,0.0855,8.621926504851988,8.813912722571363
0.3324730396270752,500.0,505,505,0.0855,0.081,8.813912722571363,8.813912722571363
0.342693567276001,500.0,510,488,0.07200000000000001,0.12150000000000001,8.901179185171081,8.517206749732328
0.3531162738800049,500.0,527,505,0.0585,0.135,9.197885158010116,8.813912722571363
0.36336565017700195,500.0,483,499,0.0855,0.10350000000000001,8.429940287132611,8.709192967451704
0.373873233795166,500.0,488,505,0.099,0.0855,8.517206749732328,8.813912722571363
0.3841578960418701,500.0,499,505,0.099,0.1125,8.709192967451704,8.813912722571363
0.39469146728515625,500.0,510,505,0.09000000000000001,0.15300000000000002,8.901179185171081,8.813912722571363
0.40509533882141113,500.0,505,505,0.0585,0.099,8.813912722571363,8.813912722571363
0.4153017997741699,500.0,488,499,0.099,0.108,8.517206749732328,8.709192967451704
0.42577409744262695,500.0,505,505,0.0855,0.099,8.813912722571363,8.813912722571363
0.43594861030578613,500.0,488,505,0.081,0.099,8.517206749732328,8.813912722571363
0.4464118480682373,500.0,488,494,0.081,0.171,8.517206749732328,8.621926504851988
0.45693016052246094,500.0,521,494,0.045000000000000005,0.07650000000000001,9.093165402890456,8.621926504851988
0.46701860427856445,500.0,494,499,0.081,0.10350000000000001,8.621926504851988,8.709192967451704
0.4771106243133545,500.0,477,494,0.1305,0.108,8.325220532012953,8.621926504851988
0.4875648021697998,500.0,499,527,0.0675,0.117,8.709192967451704,9.197885158010116
0.49800848960876465,500.0,494,483,0.081,0.117,8.621926504851988,8.429940287132611
0.5083606243133545,500.0,505,505,0.07650000000000001,0.1125,8.813912722571363,8.813912722571363
0.5186483860015869,500.0,505,499,0.09000000000000001,0.108,8.813912722571363,8.709192967451704
0.5288259983062744,500.0,488,499,0.09000000000000001,0.14850000000000002,8.517206749732328,8.709192967451704
0.5393028259277344,500.0,499,516,0.045000000000000005,0.09000000000000001,8.709192967451704,9.00589894029074
0.5498185157775879,500.0,499,494,0.10350000000000001,0.07650000000000001,8.709192967451704,8.621926504851988
0.5603902339935303,500.0,510,499,0.06300000000000001,0.1125,8.901179185171081,8.709192967451704
0.5709497928619385,500.0,499,499,0.09000000000000001,0.1395,8.709192967451704,8.709192967451704
0.5814921855926514,500.0,494,516,0.07200000000000001,0.0855,8.621926504851988,9.00589894029074
0.592024564743042,500.0,488,505,0.1125,0.0945,8.517206749732328,8.813912722571363
0.6025552749633789,500.0,510,499,0.081,0.12600000000000003,8.901179185171081,8.709192967451704
0.613011360168457,500.0,516,510,0.054,0.1395,9.00589894029074,8.901179185171081
0.6232545375823975,500.0,488,494,0.108,0.1125,8.517206749732328,8.621926504851988
0.6339211463928223,500.0,499,510,0.07200000000000001,0.081,8.709192967451704,8.901179185171081
