trayectoria,energia_total_J_sac,energia_total_J_quintic
0,0.09344628499985509,0.15396632878154573
1,0.30885590027042864,0.5763271351877614
2,0.5246491034110936,0.9780216369299171
3,0.8145632846401264,1.1479551051639063
4,1.0356091774458338,1.5650162925870017
5,1.2105346152300558,2.1734862402942987
6,1.5737917906055465,2.964747598596956
7,1.9247552162791126,3.8971167050603936
8,2.2607700300872025,4.298098535815277
9,2.5460769640422862,5.231295215729613
