trayectoria,energia_total_J
0,0.09344628499985509
1,0.30885590027042864
2,0.5246491034110936
3,0.8145632846401264
4,1.0356091774458338
5,1.2105346152300558
6,1.5737917906055465
7,1.9247552162791126
8,2.2607700300872025
9,2.5460769640422862
