time,series_id,torque_trial,speed2,torque2
0.0,0,0.25,0,0.0
0.010355949401855469,0,0.25,16,0.24750000000000003
0.02079033851623535,0,0.25,54,0.234
0.031198501586914062,0,0.25,71,0.23850000000000002
0.041422367095947266,0,0.25,109,0.24300000000000002
0.05176854133605957,0,0.25,153,0.25200000000000006
0.06229043006896973,0,0.25,181,0.234
0.07268691062927246,0,0.25,197,0.24300000000000002
0.08292150497436523,0,0.25,214,0.2205
0.09323668479919434,0,0.25,236,0.2655
0.10344529151916504,0,0.25,274,0.24300000000000002
0.11382865905761719,0,0.25,302,0.23850000000000002
0.12394189834594727,0,0.25,324,0.24750000000000003
0.13424921035766602,0,0.25,351,0.25650000000000006
0.14453840255737305,0,0.25,351,0.25650000000000006
0.1548323631286621,0,0.25,368,0.24300000000000002
0.16510891914367676,0,0.25,390,0.261
0.17550873756408691,0,0.25,422,0.24750000000000003
0.1858229637145996,0,0.25,455,0.279
0.1961688995361328,0,0.25,477,0.23850000000000002
0.20639729499816895,0,0.25,510,0.1935
0.21655941009521484,0,0.25,532,0.2205
0.22690796852111816,0,0.25,565,0.261
0.23764967918395996,0,0.25,582,0.198
0.24872803688049316,0,0.25,604,0.2745
0.2593350410461426,0,0.25,642,0.2205
0.2698357105255127,0,0.25,659,0.18000000000000002
0.2799794673919678,0,0.25,681,0.30600000000000005
0.29046201705932617,0,0.25,725,0.25650000000000006
0.30072760581970215,0,0.25,758,0.2025
0.3110809326171875,0,0.25,769,0.18450000000000003
0.321300745010376,0,0.25,796,0.189
0.33144569396972656,0,0.25,823,0.15300000000000002
0.3421139717102051,0,0.25,851,0.189
0.3526427745819092,0,0.25,873,0.23850000000000002
0.3628668785095215,0,0.25,900,0.25650000000000006
0.3734707832336426,0,0.25,917,0.27
0.3837087154388428,0,0.25,950,0.1665
0.3939201831817627,0,0.25,950,0.1665
0.0,1,0.25,27,0.23850000000000002
0.010637044906616211,1,0.25,54,0.23850000000000002
0.020909786224365234,1,0.25,54,0.23850000000000002
0.03114771842956543,1,0.25,87,0.24750000000000003
0.04136538505554199,1,0.25,109,0.25650000000000006
0.05192065238952637,1,0.25,142,0.24750000000000003
0.06226992607116699,1,0.25,175,0.24300000000000002
0.07268381118774414,1,0.25,214,0.24300000000000002
0.08293747901916504,1,0.25,225,0.25200000000000006
0.0930325984954834,1,0.25,252,0.2025
0.1033315658569336,1,0.25,280,0.2655
0.11349892616271973,1,0.25,307,0.23850000000000002
0.12372899055480957,1,0.25,340,0.225
0.13430094718933105,1,0.25,351,0.20700000000000002
0.14473938941955566,1,0.25,379,0.2025
0.1553041934967041,1,0.25,417,0.225
0.16582870483398438,1,0.25,422,0.1935
0.17624735832214355,1,0.25,466,0.1935
0.18660593032836914,1,0.25,499,0.234
0.19788885116577148,1,0.25,521,0.2655
0.20879530906677246,1,0.25,549,0.234
0.2192533016204834,1,0.25,554,0.25650000000000006
0.22960638999938965,1,0.25,604,0.27
0.24008607864379883,1,0.25,615,0.216
0.25060534477233887,1,0.25,642,0.225
0.26110410690307617,1,0.25,664,0.27
0.2712221145629883,1,0.25,708,0.1935
0.281383752822876,1,0.25,725,0.18000000000000002
0.2914774417877197,1,0.25,758,0.171
0.3016672134399414,1,0.25,791,0.23850000000000002
0.311908483505249,1,0.25,791,0.23850000000000002
0.32216954231262207,1,0.25,807,0.198
0.33286118507385254,1,0.25,834,0.17550000000000002
0.34314513206481934,1,0.25,867,0.17550000000000002
0.3536393642425537,1,0.25,878,0.216
0.3638162612915039,1,0.25,911,0.31050000000000005
0.3739354610443115,1,0.25,944,0.189
0.3842048645019531,1,0.25,955,0.25650000000000006
0.0,2,0.25,0,0.0
0.010337114334106445,2,0.25,27,0.234
0.02092266082763672,2,0.25,43,0.24300000000000002
0.031171560287475586,2,0.25,71,0.24750000000000003
0.04149460792541504,2,0.25,71,0.24750000000000003
0.05164170265197754,2,0.25,98,0.24300000000000002
0.06199955940246582,2,0.25,126,0.24300000000000002
0.07236194610595703,2,0.25,153,0.234
0.0826117992401123,2,0.25,170,0.23850000000000002
0.09318351745605469,2,0.25,219,0.25650000000000006
0.10349869728088379,2,0.25,236,0.2205
0.1139369010925293,2,0.25,236,0.24300000000000002
0.12404727935791016,2,0.25,274,0.261
0.13455605506896973,2,0.25,313,0.234
0.14468836784362793,2,0.25,351,0.2205
0.15526032447814941,2,0.25,357,0.23850000000000002
0.16571331024169922,2,0.25,384,0.20700000000000002
0.17593789100646973,2,0.25,422,0.23850000000000002
0.18626713752746582,2,0.25,433,0.2295
0.19670581817626953,2,0.25,461,0.198
0.2071692943572998,2,0.25,461,0.198
0.21753716468811035,2,0.25,510,0.28800000000000003
0.2280559539794922,2,0.25,538,0.261
0.23847532272338867,2,0.25,538,0.261
0.24879717826843262,2,0.25,560,0.198
0.25925493240356445,2,0.25,593,0.30150000000000005
0.2696878910064697,2,0.25,615,0.189
0.28025078773498535,2,0.25,648,0.29250000000000004
0.29059386253356934,2,0.25,670,0.234
0.3011503219604492,2,0.25,703,0.198
0.3115811347961426,2,0.25,725,0.261
0.32183146476745605,2,0.25,736,0.2745
0.3323788642883301,2,0.25,785,0.3195
0.34268784523010254,2,0.25,796,0.29700000000000004
0.35320496559143066,2,0.25,818,0.3195
0.3636031150817871,2,0.25,856,0.225
0.0,3,0.25,27,0.23850000000000002
0.010471582412719727,3,0.25,38,0.24300000000000002
0.020983219146728516,3,0.25,60,0.23850000000000002
0.03122735023498535,3,0.25,76,0.24750000000000003
0.04182553291320801,3,0.25,87,0.24300000000000002
