trajectory_num,pick_place_mode,time,torque1,torque2,theta1,theta2,omega1,omega2,eff_x,eff_y,power1,power2
0,1,0.0015783309936523438,0.002614941486983579,-0.03537515758383515,2.4958208303518914,-2.8448866807507573,0.0,0.0,0.026905959319124213,0.1986961665803063,0.0,0.0
0,1,0.01362299919128418,0.04350102844233198,0.005510929371513255,2.4958208303518914,-2.8448866807507573,0.0,0.0,0.026905959319124213,0.1986961665803063,0.0,0.0
0,1,0.024219989776611328,0.12738672049604816,0.18539662142522947,2.4958208303518914,-2.8448866807507573,0.0,-0.2792526803190927,0.026905959319124213,0.1986961665803063,0.0,0.0
0,1,0.03484368324279785,0.2491146411568966,0.2711245420860779,2.4958208303518914,-2.8448866807507573,0.0,-0.17453292519943295,0.026905959319124213,0.1986961665803063,0.0,0.0
0,1,0.0459291934967041,0.34819508759671547,0.4002049885258967,2.4958208303518914,-2.8448866807507573,0.17453292519943295,-0.08726646259971647,0.026905959319124213,0.1986961665803063,0.06077150717832754,0.0
0,1,0.05647468566894531,0.4860037143961996,0.5140136153253808,2.4958208303518914,-2.8448866807507573,0.2792526803190927,0.08726646259971647,0.026905959319124213,0.1986961665803063,0.13571783989017358,0.04485614993753739
0,1,0.06731128692626953,0.5832840162054375,0.6112939171346188,2.4958208303518914,-2.8448866807507573,0.5585053606381855,0.3665191429188092,0.026905959319124213,0.1986961665803063,0.3257672498253071,0.22405092257966205
0,1,0.07773470878601074,0.6736828787477778,0.5916927796769578,2.4958208303518914,-2.827433388230814,0.8552113334772214,0.7504915783575618,0.025705765916909366,0.1999354667068952,0.5761412330746604,0.4440604481225331
0,1,0.08865189552307129,0.6322679749175175,0.7262778758466968,2.5132741228718345,-2.827433388230814,1.3264502315156905,0.9424777960769379,0.02422157200742777,0.1989876634955023,0.8386720017092979,0.6845007717674347
0,1,0.09929251670837402,0.5717148804237093,0.7317247813528907,2.530727415391778,-2.8099800957108707,1.8151424220741028,1.239183768915974,0.02153522153254537,0.19924836778239047,1.0377439327880977,0.906741472366092
0,1,0.10996103286743164,0.43714013666483365,0.5971500375940129,2.548180707911721,-2.792526803190927,2.478367537831948,1.9024088846738192,0.018847121368280227,0.19947831552409187,1.0833939241935449,1.1360235370021552
0,1,0.12078666687011719,0.36639815767489586,0.47440805860407625,2.5830872929516078,-2.775073510670984,2.670353755551324,2.478367537831948,0.014729364886833934,0.19866842246706434,0.9784126963742444,1.175757532130219
0,1,0.13169240951538086,0.23467204666564223,0.31268194759482054,2.6179938779914944,-2.7401669256310974,2.9670597283903604,2.8623399732707004,0.009375424824775436,0.19894179536709106,0.6962859790405704,0.8950020375207892
0,1,0.14318037033081055,0.19327405240065304,0.08928395332983025,2.6354471705114375,-2.705260340591211,3.1590459461097367,3.351032163829113,0.005388018783134926,0.20016790271203755,0.6105616117244838,0.29919339932207856
0,1,0.15372276306152344,0.06737376421802521,-0.0726163348527954,2.670353755551324,-2.670353755551324,3.246312408709453,3.543018381548489,-3.107471207436374e-07,0.20022951156610405,0.21871628680244018,0.0
0,1,0.16449642181396484,-0.12552254833464566,-0.19951264740546631,2.705260340591211,-2.6354471705114375,3.4382986264288293,3.543018381548489,-0.0053888005452758445,0.2001689378790304,0.0,0.0
0,1,0.17507505416870117,-0.15209090284513688,-0.3580810019159556,2.7401669256310974,-2.600540585471551,3.0543261909900767,3.543018381548489,-0.010774555962871211,0.19998389123948668,0.0,0.0
0,1,0.18581080436706543,-0.30950579179766774,-0.47949589086848865,2.775073510670984,-2.5656340004316642,2.9670597283903604,3.351032163829113,-0.01615749957322004,0.19967752684429052,0.0,0.0
0,1,0.19678330421447754,-0.45675990102862124,-0.52475000009944,2.8099800957108707,-2.530727415391778,2.775073510670984,2.8623399732707004,-0.021535221997804388,0.19924836677486263,0.0,0.0
0,1,0.20743989944458008,-0.5540434439864976,-0.5920335430573143,2.8448866807507573,-2.4958208303518914,2.3911010752322315,2.3911010752322315,-0.026905949703064917,0.1986961629895599,0.0,0.0
0,1,0.218475341796875,-0.6123443801765756,-0.5183344792473944,2.8623399732707004,-2.478367537831948,2.0943951023931953,1.710422666954443,-0.029588128779388198,0.19837382348856672,0.0,0.0
0,1,0.2299025058746338,-0.5431714376506063,-0.47916153672142714,2.8797932657906435,-2.4609142453120048,1.4311699866353502,1.1344640137963142,-0.03226788094155767,0.19802059923743356,0.0,0.0
0,1,0.24179553985595703,-0.5137761461587561,-0.4857662452295789,2.897246558310587,-2.443460952792061,0.9424777960769379,0.7504915783575618,-0.034944975444043944,0.19763644036925046,0.0,0.0
0,1,0.2525441646575928,-0.36604202111151063,-0.3380321201823334,2.897246558310587,-2.443460952792061,0.47123889803846897,0.2792526803190927,-0.034944975444043944,0.19763644036925046,0.0,0.0
0,1,0.2632639408111572,-0.20404202111151062,-0.08003212018233341,2.897246558310587,-2.443460952792061,0.0,-0.47123889803846897,-0.034944975444043944,0.19763644036925046,0.0,0.037714248122405106
0,1,0.2741425037384033,-0.07804202111151062,-0.05003212018233341,2.897246558310587,-2.443460952792061,-0.3665191429188092,-0.5585053606381855,-0.034944975444043944,0.19763644036925046,0.028603894689442487,0.027943207325927158
0,1,0.28523778915405273,-0.04204202111151062,-0.03603212018233229,2.897246558310587,-2.4609142453120048,-0.47123889803846897,-0.3665191429188092,-0.03342000278577885,0.19675190382024504,0.019811835699898313,0.013206461806775958
