time,series_id,torque_trial,speed1,speed2,torque1,torque2
0.0,0,0.2,54,54,0.18450000000000003,0.189
0.01058340072631836,0,0.2,109,93,0.18000000000000002,0.1935
0.021015167236328125,0,0.2,159,115,0.1935,0.189
0.031279563903808594,0,0.2,203,109,0.18000000000000002,0.1935
0.041671037673950195,0,0.2,230,126,0.198,0.2025
0.051824092864990234,0,0.2,302,131,0.18000000000000002,0.1935
0.06231856346130371,0,0.2,373,175,0.14400000000000002,0.171
0.07282900810241699,0,0.2,439,230,0.162,0.17550000000000002
0.0834805965423584,0,0.2,521,307,0.1665,0.2025
0.09441614151000977,0,0.2,571,296,0.21150000000000002,0.18450000000000003
0.10537600517272949,0,0.2,620,340,0.135,0.17550000000000002
0.11564922332763672,0,0.2,681,417,0.18000000000000002,0.17550000000000002
0.12587404251098633,0,0.2,763,466,0.2205,0.17550000000000002
0.13598203659057617,0,0.2,812,466,0.21150000000000002,0.17550000000000002
0.14656877517700195,0,0.2,867,477,0.234,0.2205
0.15670514106750488,0,0.2,867,538,0.234,0.198
0.16691994667053223,0,0.2,950,549,0.14400000000000002,0.198
0.17737460136413574,0,0.2,994,637,0.18000000000000002,0.25650000000000006
0.18778061866760254,0,0.2,1065,653,0.117,0.12150000000000001
0.19807744026184082,0,0.2,1137,686,0.1935,0.135
0.20839357376098633,0,0.2,1181,752,0.261,0.14400000000000002
0.21901750564575195,0,0.2,1246,796,0.171,0.1935
0.2296314239501953,0,0.2,1312,818,0.099,0.14400000000000002
0.24010443687438965,0,0.2,1362,873,0.216,0.117
0.2507474422454834,0,0.2,1406,906,0.1395,0.0945
0.26104283332824707,0,0.2,1472,950,0.23850000000000002,0.234
0.27155303955078125,0,0.2,1516,1005,0.18450000000000003,0.12600000000000003
0.2817196846008301,0,0.2,1593,1027,0.162,0.24300000000000002
0.2919762134552002,0,0.2,1653,1104,0.2655,0.17550000000000002
0.3025472164154053,0,0.2,1697,1131,0.1305,0.1665
0.3131082057952881,0,0.2,1790,1170,0.15750000000000003,0.162
0.32326674461364746,0,0.2,1845,1181,0.1665,0.1665
0.3338029384613037,0,0.2,1917,1241,0.28800000000000003,0.162
0.3443903923034668,0,0.2,1939,1274,0.1665,0.15750000000000003
0.35477757453918457,0,0.2,1999,1318,0.24300000000000002,0.27
0.3653697967529297,0,0.2,2043,1351,0.198,0.18000000000000002
0.3756988048553467,0,0.2,2103,1351,0.18000000000000002,0.18000000000000002
0.38600969314575195,0,0.2,2103,1411,0.18000000000000002,0.24300000000000002
0.3964240550994873,0,0.2,2158,1433,0.15750000000000003,0.1395
0.40665507316589355,0,0.2,2246,1483,0.15300000000000002,0.1935
0.417264461517334,0,0.2,2285,1532,0.18450000000000003,0.27
0.42789149284362793,0,0.2,2345,1549,0.198,0.225
0.438213586807251,0,0.2,2384,1609,0.234,0.162
0.4489867687225342,0,0.2,2433,1636,0.2295,0.23850000000000002
0.4595217704772949,0,0.2,2466,1664,0.1935,0.2205
0.46986913681030273,0,0.2,2554,1697,0.14850000000000002,0.189
0.4803612232208252,0,0.2,2636,1752,0.1665,0.14850000000000002
0.4907803535461426,0,0.2,2686,1790,0.18450000000000003,0.17550000000000002
0.5013940334320068,0,0.2,2746,1818,0.2745,0.162
0.5118725299835205,0,0.2,2752,1873,0.2745,0.18000000000000002
0.5227625370025635,0,0.2,2796,1928,0.18000000000000002,0.198
0.5330421924591064,0,0.2,2867,1961,0.225,0.15300000000000002
0.5435822010040283,0,0.2,2944,1983,0.2295,0.171
