trayectoria,energia_total_J
0,0.12549620968558645
1,0.4756855885232054
2,0.803196017553133
3,1.1334856479750623
4,1.5460743567165096
5,2.0921151585873643
6,2.7629470498979476
7,3.0416855730602004
8,3.472538594305071
9,3.837445112695929
