trayectoria,energia_total_J
0,0.13567328174527654
1,0.4814833257627389
2,0.8600222788600054
3,1.2273443188817839
4,1.4678483501224604
5,1.6973049439011556
6,1.9940712268435214
7,2.4158423450699447
8,2.837249142595166
9,3.2079893844017393
