trajectory_num,mode,time,target,torque1,torque2,theta1,theta2,omega1,omega2,eff_x,eff_y,power1,power2
8,back,0.9900000000001548,"(np.float64(0.0), np.float64(0.0))",0.05257928968522945,-0.025983634483927053,1.1863293253400264,-4.342209731952235,0.010386600987478525,-0.005012203070659576,0.19787991351567974,0.06354006512030701,0.0005461201021655236,0.00013023525254723522
9,go,0.0,"(np.float64(0.0), np.float64(0.0))",0.052520520488588816,-0.02595525515809511,1.152380408726919,-4.572578688985813,0.010374681704375234,-0.005006517521827069,0.1961570543884549,0.039018064402197836,0.000544883683017227,0.00012994543973249558
9,go,0.010000000000001563,"(np.float64(0.0), np.float64(0.0))",-0.00311240451131257,0.0015019552565481206,1.152445183890958,-4.572608534958367,0.003829030573712272,-0.0016679037044249434,0.1961570543884549,0.039018064402197836,0.0,0.0
9,go,0.020000000000003126,"(np.float64(0.0), np.float64(0.0))",0.016767213775616643,0.018473066741013795,1.152480355339441,-4.572606521471913,0.0033341705658243227,0.0015173513974330545,0.19615104204916817,0.039020853221119464,5.590475064154512e-05,2.8030133634351365e-05
9,go,0.03000000000000469,"(np.float64(0.0), np.float64(0.0))",0.06859489764647919,0.0692166108561698,1.1525465142670634,-4.572550766770858,0.008999975641183234,0.008523746941877823,0.1961483279467811,0.039023935531536186,0.0006173524079277698,0.0005899848751124247
9,go,0.04000000000000625,"(np.float64(0.0), np.float64(0.0))",0.14910746035333347,0.14933323895823822,1.1529801153200754,-4.572378747405341,0.07725046814363948,0.025409756136903702,0.19614506694088363,0.039033918115660204,0.011518621116004173,0.0037945211850628005
9,go,0.050000000000007816,"(np.float64(0.0), np.float64(0.0))",0.238053878853662,0.2538459514632929,1.1543859186144807,-4.571618996627314,0.20286985784062914,0.12540690596526066,0.19611841914132044,0.03908208810376432,0.04829395656145276,0.031834035364819296
9,go,0.06000000000000938,"(np.float64(0.0), np.float64(0.0))",0.33358895265438404,0.35745532873443203,1.157369924781899,-4.569476493539115,0.39261317348430025,0.30172676735332304,0.19603658977614896,0.03925704892150475,0.1309714173409417,0.10785384081225959
9,go,0.07000000000001094,"(np.float64(0.0), np.float64(0.0))",0.43035328908299536,0.4587516032872576,1.1625815079064012,-4.565208488687148,0.648281499409044,0.5505796853781711,0.19587279969379356,0.03967911815469957,0.278990075522338,0.25257931340462986
9,go,0.0800000000000125,"(np.float64(0.0), np.float64(0.0))",0.524528388313202,0.5555374718509541,1.170673090559104,-4.55810613866578,0.9686261323347704,0.8689289922041263,0.19559060249204901,0.04046941374293124,0.5080719040716074,0.4827226155470778
9,go,0.09000000000001407,"(np.float64(0.0), np.float64(0.0))",0.6132925270701763,0.6454937480166608,1.1822751236091738,-4.547491193558933,1.3504805928487338,1.2536846850152428,0.19514725046230558,0.04174516629061044,0.8282396555474298,0.8092456261615759
9,go,0.10000000000001563,"(np.float64(0.0), np.float64(0.0))",0.6944991030664008,0.7264222070896732,1.1979805653039437,-4.532717620410964,1.7895097063370993,1.701493463541249,0.1944941616310905,0.04361519984384145,1.2428128859797338,1.2360026371342865
9,go,0.1100000000000172,"(np.float64(0.0), np.float64(0.0))",0.7664641590411234,0.7963124846811841,1.2183356487240962,-4.513174402628427,2.280700646131978,2.208688839512244,0.19357596523569592,0.04617559716189626,1.7480753027620934,1.7588064976795963
