trayectoria,energia_total_J_sac,energia_total_J_quintic
0,0.13567328174527654,0.12549620968558645
1,0.4814833257627389,0.4756855885232054
2,0.8600222788600054,0.803196017553133
3,1.2273443188817839,1.1334856479750623
4,1.4678483501224604,1.5460743567165096
5,1.6973049439011556,2.0921151585873643
6,1.9940712268435214,2.7629470498979476
7,2.4158423450699447,3.0416855730602004
8,2.837249142595166,3.472538594305071
9,3.2079893844017393,3.837445112695929
